reviews.rating,reviews.numHelpful,reviews.doRecommend,sentiment_score,review_length,sentiment_category
3,0,False,-0.10897435897435898,41,Neutral
5,0,True,0.2777777777777778,12,Positive
4,0,True,0.165625,24,Neutral
5,3,True,0.24049707602339182,148,Positive
5,0,True,0.46875,36,Positive
5,0,False,0.5,30,Positive
5,0,True,0.18194444444444446,139,Neutral
4,0,False,-0.2,18,Neutral
5,0,True,0.5681818181818181,11,Positive
5,0,True,-0.1,15,Neutral
5,3,True,0.30393939393939395,54,Positive
5,0,True,0.37777777777777777,19,Positive
5,0,True,0.35,11,Positive
5,0,True,0.43333333333333335,12,Positive
5,0,True,0.3958333333333333,34,Positive
3,0,True,0.10000000000000003,28,Neutral
5,0,True,1.0,15,Positive
4,0,True,0.4166666666666667,12,Positive
5,0,True,0.75,15,Positive
4,0,True,0.37321428571428567,30,Positive
1,1,False,0.2333333333333333,94,Positive
4,4,True,0.48666666666666664,41,Positive
5,0,True,0.2833333333333333,23,Positive
4,0,True,0.4166666666666667,10,Positive
4,0,True,0.5,18,Positive
5,0,True,0.3333333333333333,17,Positive
5,0,True,0.5666666666666667,26,Positive
5,0,True,0.375,22,Positive
5,0,True,0.2,22,Neutral
4,2,True,0.19629629629629627,61,Neutral
4,0,True,0.125,9,Neutral
4,0,True,0.35000000000000003,12,Positive
4,0,True,0.05,17,Neutral
5,0,True,0.6,14,Positive
4,0,True,0.9,18,Positive
4,0,True,0.13809523809523808,21,Neutral
5,0,True,0.8,10,Positive
5,0,True,0.25,18,Positive
5,0,True,0.375,33,Positive
5,0,True,0.065,30,Neutral
5,0,True,0.3,15,Positive
5,0,True,0.875,23,Positive
5,0,True,0.3666666666666667,10,Positive
5,0,True,0.41600000000000004,34,Positive
4,0,True,0.3176136363636364,37,Positive
5,0,True,0.38888888888888884,27,Positive
4,9,True,0.125,25,Neutral
5,0,True,0.4166666666666667,18,Positive
4,0,True,0.52,12,Positive
4,0,True,-0.025,20,Neutral
5,0,True,0.18666666666666668,48,Neutral
3,0,True,0.7,13,Positive
4,0,True,0.18,38,Neutral
5,1,True,0.09487179487179485,116,Neutral
5,0,True,0.6708333333333334,11,Positive
5,0,True,0.075,23,Neutral
5,0,True,0.1,15,Neutral
5,0,True,0.4916666666666667,62,Positive
5,0,True,0.4361111111111111,38,Positive
5,1,True,0.42500000000000004,24,Positive
4,0,True,0.0,13,Neutral
5,0,True,0.23888888888888887,85,Positive
4,0,True,0.6333333333333333,9,Positive
5,0,True,0.42111111111111116,12,Positive
5,0,True,0.5,27,Positive
5,0,True,0.0,12,Neutral
5,0,True,0.2670110192837466,53,Positive
5,1,True,0.30245098039215684,116,Positive
5,0,True,0.8111111111111112,18,Positive
4,0,True,0.4611111111111111,21,Positive
1,97,False,0.3385416666666667,116,Positive
4,0,True,0.125,9,Neutral
3,0,False,0.02619047619047621,58,Neutral
